name,quadrant,ring,icon,description
Jenkins,CI/CD,Hold,leaning,"<p><a href=""https://jenkins.io/"">Jenkins</a> is a build system. Built by the open source community it provides all the functionality needed for continuous integration.</p>
<h3>Pros</h3>
<ul>
<li>Innumerable plugins</li>
<li>Not the easiest interface to work with</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Sometimes low quality plugins due to open source community</li>
</ul>
<p>When decision made: 5/1/2021</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Teamcity,CI/CD,Hold,leaning,"<p><a href=""https://www.jetbrains.com/teamcity/"">Teamcity</a> is a build system. Built by the folks at Jetbrains it provides all the functionality needed for continuous integration.</p>
<h3>Pros</h3>
<ul>
<li>Solid interface</li>
<li>Build templating</li>
<li>Well built plugins built by the Teamcity team</li>
<li>Great cloud build agent support on Kubernetes or using AWS AMIs</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Not as popular as Jenkins and so there are less plugins</li>
<li>Costs money</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Spinnaker,CI/CD,Invest,leaning,"<p><a href=""https://www.spinnaker.io/"">Spinnaker</a> is a continuous delivery tool that can work with many different types of infrastructure. While Spinnaker can work with anything we have chosen to use it primarily to manage the deployment pipelines for the applications that reside on our Kubernetes cluster.</p>
<h3>Pros</h3>
<ul>
<li>Visual workflow for releases</li>
<li>Very customizable</li>
<li>Constantly evolving</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Very resource heavy application</li>
<li>Difficult configuration</li>
<li>Occasional there are significant changes required to upgrade</li>
<li>Not super well documented</li>
</ul>
<p>When decision made: 3/5/2020<br />
When decision will be revisited: 01/01/2022</p>
"
Concourse CI,CI/CD,Trial,budding,"<p><a href=""https://concourse-ci.org/"">Concourse CI</a> is an open-source continuous thing-doer. Built on the simple mechanics of resources, tasks, and jobs, Concourse presents a general approach to automation that makes it great for CI/CD. Could potentially replace <a href="""">Spinnaker</a> for CI.</p>
<h3>Pros</h3>
<ul>
<li>Native Kubernetes support</li>
<li>CI is under source control by default</li>
<li>Lightweight</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Fairly new system</li>
<li>Lack of plugins (design decision)</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Terraform (Provisioning),Infrastructure,Trial,leaning,
AWS Cloud Formation,Infrastructure,Trial,leaning,"<p><a href=""https://aws.amazon.com/cloudformation/"">CloudFormation</a> iprovides a common language for you to model and provision AWS and third party application resources in your cloud environment. AWS CloudFormation allows you to use programming languages or a simple text file to model and provision, in an automated and secure manner, all the resources needed for your applications across all regions and accounts. This gives you a single source of truth for your AWS and third party resources.</p>
<h3>Pros</h3>
<ul>
<li>Native integration with AWS</li>
<li>Drift detection</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Only works with AWS</li>
<li>Tools and syntax are arguably unintuitive</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Harbor,Infrastructure,Trial,budding,"<p><a href=""https://goharbor.io"">Harbor</a> is an open source registry that secures artifacts with policies and role-based access control, ensures images are scanned and free from vulnerabilities, and signs images as trusted. As a CNCF Graduated project, Harbor delivers compliance, performance, and interoperability to help you consistently and securely manage artifacts across cloud native compute platforms like Kubernetes and Docker.</p>
<h3>Pros</h3>
<ul>
<li>Built in security scanning through <a href="""">Clair</a></li>
<li>CNCF incubating</li>
<li>Active community</li>
<li>Integrated web ui</li>
</ul>
<h3>Cons</h3>
<ul>
<li>We would host ourselves</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Istio,Infrastructure,Invest,budding,"<p><a href=""https://istio.io/"">Istio</a> helps reduce the complexity deployments, and eases the strain on your development teams. It is a completely open source service mesh that layers transparently onto existing distributed applications.</p>
<h3>Pros</h3>
<ul>
<li>Automatic load balancing</li>
<li>Fine grained traffic control</li>
<li>Automatic metrics, logs, traces</li>
<li>Secure service to service communication</li>
<li>Deployment method support (blue/green, etc)</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Configuration can be heavy</li>
<li>Introduces some overhead into the system</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Traefik,Infrastructure,Hold,budding,"<p><a href=""https://www.ansible.com/"">Traefik</a> is a leading modern reverse proxy and load balancer that makes deploying microservices easy. Traefik integrates with your existing infrastructure components and configures itself automatically and dynamically.</p>
<h3>Pros</h3>
<ul>
<li>Simple to configure</li>
<li>High speed</li>
<li>Very lightweight</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Doesn’t have built-in monitoring and tracing</li>
<li>Emerging support for deployment patterns (e.g. blue/green)</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
ECR,Infrastructure,Invest,budding,"<p><a href=""https://aws.amazon.com/ecr/"">ECR</a> is a fully-managed Docker container registry that makes it easy for developers to store, manage, and deploy Docker container images. Amazon ECR is integrated with Amazon Elastic Container Service (ECS), simplifying your development to production workflow. Amazon ECR eliminates the need to operate your own container repositories or worry about scaling the underlying infrastructure. Amazon ECR hosts your images in a highly available and scalable architecture, allowing you to reliably deploy containers for your applications.</p>
<h3>Pros</h3>
<ul>
<li>Integration with IAM</li>
<li>Fully managed and hosted</li>
<li>Powerful insights and dashboarding</li>
</ul>
<h3>Cons</h3>
<ul>
<li>No security scanning</li>
<li>Interface is lacking</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
AWS Api Gateway,Infrastructure,Hold,none,"<p><a href=""https://aws.amazon.com/api-gateway/"">Api Gateway</a> is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale. APIs act as the “front door” for applications to access data, business logic, or functionality from your backend services. Using API Gateway, you can create RESTful APIs and WebSocket APIs that enable real-time two-way communication applications. API Gateway supports containerized and serverless workloads, as well as web applications.</p>
<p>Generally speaking Api Gateway is a cool technology but there is a strong preference to run appliations on our existing <a href="""">Kubernetes</a> clusters to take advantage of free resources that are already available.</p>
<h3>Pros</h3>
<ul>
<li>Fully managed</li>
<li>Simple to setup and get started</li>
<li>Direct integration into other services</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Api gateway can be more expensive when dealing with large loads</li>
<li>Difficult to have large application cohesion</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Serverless.com,Infrastructure,Hold,none,"<p><a href=""https://serverless.com/"">Serverless</a> The Serverless Framework gives you everything you need to develop, deploy, monitor and secure serverless applications on any cloud.</p>
<h3>Pros</h3>
<ul>
<li>Cloud agnostic</li>
<li>Easy to use tooling</li>
<li>Well documented</li>
<li>Can save significant amounts of money over traditional monolithic applications</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Path to serverless is generally a rewrite</li>
<li>Other applications can be dockerized and ran on existing resources</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Chef (All),Infrastructure,Divest,none,"<p><a href=""https://www.chef.io/"">Chef (All)</a> automates infrastructure configuration, ensuring every system is configured correctly and consistently.</p>
<h3>Pros</h3>
<ul>
<li>Manage your infrastructure declaratively</li>
<li>Drift detection</li>
<li>Easy to replicate environments</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Lack of community support</li>
<li>Not open source</li>
<li>Steep learning curve</li>
<li>Requires scripting for very common tasks</li>
</ul>
<p>Relatively new addition to the infrastructure as code arena but <a href="""">Terraform</a> or <a href="""">Cloud Formation</a> are strongly preferred.</p>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
ECS,Infrastructure,Divest,none,"<p><a href=""https://aws.amazon.com/ecs/"">Elastic Container Service (ECS)</a> is a fully managed container orchestration service. Customers such as Duolingo, Samsung, GE, and Cookpad use ECS to run their most sensitive and mission critical applications because of its security, reliability, and scalability.</p>
<h3>Pros</h3>
<ul>
<li>Support for serverless containers through Fargate</li>
<li>AWS native</li>
<li>Managed infrastructure</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Lacks community support</li>
<li>Only works with AWS</li>
</ul>
<p>While ECS and Kubernetes are very similar <a href="""">Kubernetes</a> is favored heavily.</p>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Datadog,Observability,Hold,none,"<p><a href=""https://www.datadoghq.com/"">Datadog</a> is a hosted platform for monitoring and analytics. Datadog enables easy instrumentation of many types of applications and infrastructure.</p>
<h3>Pros</h3>
<ul>
<li>Very quick to implement</li>
<li>Lots of canned reports and dashboards</li>
<li>Compared to other providers they have been cheaper</li>
</ul>
<h3>Cons</h3>
<ul>
<li>No Azure support</li>
<li>Dashboards aren’t very straightforward</li>
</ul>
<p>When decision made: 3/5/2020</p>
<p>When decision will be revisited: 01/01/2022</p>
"
TFS (Azure DevOps Server),Infrastructure,Divest,none,"<p><a href=""https://azure.microsoft.com/en-us/services/devops/server/"">TFS (Azure DevOps Server)</a> is replaced by Azure DevOps server. TFS historically attempted to capture all venues of the software development process. Project management, source control, and everything in between.</p>
<h3>Pros</h3>
<ul>
<li>Tight integration with Visual Studio</li>
<li>Integrated project management and development experience</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Centralized source control</li>
<li>Gated check-ins painful</li>
<li>Slow interfaces</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Subversion,Infrastructure,Divest,none,"<p><a href=""https://subversion.apache.org/"">Subversion</a> is an open-source, centralized version control system characterized by its reliability as a safe haven for valuable data; the simplicity of its model and usage; and its ability to support the needs of a wide variety of users and projects, from individuals to large-scale enterprise operations.</p>
<h3>Pros</h3>
<ul>
<li>Stable</li>
<li>Well-known</li>
<li>Simple rollbacks</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Lack of workflows (pull requests)</li>
<li>Centralized source control</li>
<li>Not as friendly to .NET developers</li>
<li>Refactoring painful</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Stackify,Infrastructure,Divest,none,"<p><a href=""https://stackify.com/"">Stackify Retrace</a> combines APM, centralized logging, code profiling, integrated errors and logs, and more under one roof. That way, everyone is in the know.</p>
<h3>Pros</h3>
<ul>
<li>Combined code profiler with application logging</li>
<li>Easy to deploy</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Weak mobile support</li>
<li>Documentation needs improvement</li>
<li>Cost</li>
<li>Not as highly rated as other APM providers</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
AppDynamics,Infrastructure,Divest,none,"<p><a href=""https://www.appdynamics.com"">AppDynamics</a> is used to actively monitor, analyze and optimize complex application environments at scale.</p>
<h3>Pros</h3>
<ul>
<li>Extensive displays and dashboards</li>
<li>Efficient agents with minimal overhead</li>
<li>Agentless deployment</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Higher learning curve than others</li>
<li>More expensive than other vendors</li>
<li>Complex interface</li>
</ul>
<p>Replaced by <a href="""">NewRelic</a>.</p>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
AMI (Custom built),Infrastructure,Divest,none,"<p><a href=""https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-instances-and-amis.html"">AMI (Custom Built)</a> is a template that contains a software configuration (for example, an operating system, an application server, and applications). From an AMI, you launch an instance, which is a copy of the AMI running as a virtual server in the cloud.</p>
<h3>Pros</h3>
<ul>
<li>Repeatable configuration of a virual machine</li>
<li>Easy to rollout multiple instances</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Wastes large amounts of resources inside of EC2 when utilization is low</li>
<li>Can be rather costly, especially for low use applications</li>
</ul>
<p><a href="""">Docker</a> replaces the need for creating custom AMIs that contain software packages.</p>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2021</p>
"
Gitlab,Infrastructure,Divest,none,"<p>With <a href=""https://about.gitlab.com/"">Gitlab</a>, you get a complete CI/CD toolchain in a single application. One interface. One conversation. One permission model. Thousands of features. You’ll be amazed at everything GitLab can do today. And we’re just getting started.</p>
<h3>Pros</h3>
<ul>
<li>Has all of your tools in one place (project management, builds, source control)</li>
<li>Constantly adding features</li>
<li>User and group management easy</li>
</ul>
<h3>Cons</h3>
<ul>
<li>UI not as friendly in some areas</li>
<li>Not well suited for web apis</li>
<li>Small community compared with Github</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
Octopus Deploy,Infrastructure,Divest,none,"<p><a href=""https://octopus.com/"">Octopus Deploy</a> You already have a source control system and a build server. Octopus doesn’t replace these, we turbocharge them. We allow the build server to focus on what it does best: compiling code and running tests, while Octopus takes care of deploying and promoting releases between environments, automating deployments, and automating the operations tasks that keep the software running.</p>
<h3>Pros</h3>
<ul>
<li>Focused on release management</li>
<li>Works with both cloud deployments and on premise deployments</li>
<li>Inexpensive</li>
<li>UI is easy for engineers and others to control releases</li>
<li>High level dashboard view of releases</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Requires an agent for on premise servers</li>
<li>Configuration can get complicated very quickly</li>
<li>Small community and very few plugins</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
AWS CodePipeline,Infrastructure,Invest,budding,
New Relic,Observability,Invest,confident,"<p><a href=""https://newrelic.com/"">New Relic</a> is an analytics package that can be used to gain insights about your application. NewRelic can be depoyed as an Application Performance Monitor (APM) or to your infrastructure for insights into how the system is performing as a whole. New Relic should be used instead of <a href="""">Datadog</a>.</p>
<h3>Pros</h3>
<ul>
<li>Works across Azure and NewRelic</li>
<li>Powerful insights and dashboarding</li>
<li>Can be customized withing the New Relic ONE platform</li>
<li>Extremely easy integration into applications</li>
<li>Docker support</li>
<li>Easy to read tracing</li>
</ul>
<h3>Cons</h3>
<ul>
<li>More expensive than some other offerings</li>
<li>Cost prohibitive to use for logs as well</li>
</ul>
<p>When decision made: 5/1/2020</p>
<p>When decision will be revisited: 5/1/2022 (under 2 year contract)</p>
"
BugSnag,Observability,Invest,confident,"<p><a href=""https://www.bugsnag.com/"">BugSnag</a> is an error-monitoring tool that allows your developers to identify, prioritize and replicate bugs in a time-efficient and enjoyable manner. BugSnag creates an ownership mentality with all developers by enabling them to proactively see the effects of their code. This helps them address the issues before it escalates, creating a joyful experience for both customers and engineers.</p>
<h3>Pros</h3>
<ul>
<li>Full-stack monitoring on an unlimited number of web, desktop, and server applications</li>
<li>Measure health of applications against benchmarks</li>
<li>Error prioritization</li>
</ul>
<h3>Cons</h3>
<ul>
<li>No built in performance tracking</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
Sentry.io,Observability,Hold,budding,"<p><a href=""https://www.sentry.io/"">Sentry.io</a> is a performance monitoring software that every developer diagnose, fix, and optimize the performance of their code. With Sentry, developers around the world save time, energy, and probably a few therapy sessions.</p>
<h3>Pros</h3>
<ul>
<li>Bug tracking/error monitoring</li>
<li>Application performance analysis</li>
<li>Integrates with project mngt systems</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Limited customization</li>
<li>Limited support for older technology</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
Octopus Deploy,CI/CD,Divest,none,"<p><a href=""https://octopus.com/"">Octopus Deploy</a> You already have a source control system and a build server. Octopus doesn’t replace these, we turbocharge them. We allow the build server to focus on what it does best: compiling code and running tests, while Octopus takes care of deploying and promoting releases between environments, automating deployments, and automating the operations tasks that keep the software running.</p>
<h3>Pros</h3>
<ul>
<li>Focused on release management</li>
<li>Works with both cloud deployments and on premise deployments</li>
<li>Inexpensive</li>
<li>UI is easy for engineers and others to control releases</li>
<li>High level dashboard view of releases</li>
</ul>
<h3>Cons</h3>
<ul>
<li>Requires an agent for on premise servers</li>
<li>Configuration can get complicated very quickly</li>
<li>Small community and very few plugins</li>
</ul>
<p>When decision made: 1/1/2020</p>
<p>When decision will be revisited: 1/1/2022</p>
"
